BinCenter (ps);Histo01;Histo02;Histo03;Histo04
89450;5;18;0;0
89550;6;6;0;0
89650;5;5;0;0
89750;7;9;0;0
89850;7;17;0;0
89950;6;5;0;0
90050;4;7;0;0
90150;4;5;0;0
90250;4;13;0;0
90350;6;11;0;0
90450;2;4;0;0
90550;4;6;0;0
90650;10;5;0;0
90750;11;7;0;0
90850;9;10;0;0
90950;6;5;0;0
91050;6;6;0;0
91150;8;5;0;0
91250;8;5;0;0
91350;9;7;0;0
91450;10;9;0;0
91550;5;8;0;0
91650;6;9;0;0
91750;9;10;0;0
91850;6;15;0;0
91950;5;12;0;0
92050;5;11;0;0
92150;8;24;0;0
92250;4;32;0;0
92350;3;18;0;0
92450;6;34;0;0
92550;8;44;0;0
92650;7;37;0;0
92750;8;35;0;0
92850;3;38;0;0
92950;6;55;0;0
93050;9;48;0;0
93150;7;30;0;0
93250;8;15;0;0
93350;3;35;0;0
93450;12;49;0;0
93550;184;12;0;0
93650;190;15;0;0
93750;7;13;0;0
93850;13;45;0;0
93950;768;8;0;0
94050;685;7;0;0
94150;10;6;0;0
94250;14;17;0;0
94350;1048;10;0;0
94450;753;5;0;0
94550;10;12;0;0
94650;20;16;0;0
94750;855;3;0;0
94850;620;17;0;0
94950;10;12;0;0
95050;10;7;0;0
95150;252;6;0;0
95250;167;16;0;0
95350;9;9;0;0
95450;14;12;0;0
95550;8;7;0;0
95650;5;15;0;0
95750;5;6;0;0
95850;5;4;0;0
95950;5;5;0;0
96050;7;11;0;0
96150;8;4;0;0
96250;6;13;0;0
96350;6;5;0;0
96450;6;4;0;0
96550;9;5;0;0
96650;7;7;0;0
96750;6;4;0;0
96850;7;8;0;0
96950;10;4;0;0
97050;10;8;0;0
97150;6;8;0;0
97250;6;10;0;0
97350;8;5;0;0
97450;7;7;0;0
97550;7;3;0;0
97650;6;2;0;0
97750;8;9;0;0
97850;3;13;0;0
97950;5;8;0;0
98050;3;5;0;0
98150;7;5;0;0
98250;12;4;0;0
98350;9;5;0;0
98450;6;5;0;0
98550;9;9;0;0
98650;6;15;0;0
98750;8;9;0;0
98850;4;7;0;0
98950;2;9;0;0
99050;6;4;0;0
99150;11;9;0;0
99250;3;7;0;0
99350;5;5;0;0
99450;11;5;0;0
99550;9;5;0;0
99650;6;4;0;0
99750;4;4;0;0
99850;3;6;0;0
99950;3;2;0;0
